20
1 2 3
1 3 20
1 4 5
1 5 10
1 6 14
1 7 4
1 8 7
1 9 8
1 10 6
1 11 20
1 12 15
1 13 2
1 14 6
1 15 9
1 16 11
1 17 16
1 18 13
1 19 18
1 20 19
2 3 15
2 4 10
2 5 5
2 6 8
2 7 9
2 8 14
2 9 25
2 10 2
2 11 11
2 12 12
2 13 5
2 14 8
2 15 6
2 16 20
2 17 13
2 18 10
2 19 3
2 20 7
3 4 4
3 5 7
3 6 8
3 7 14
3 8 5
3 9 3
3 10 9
3 11 5
3 12 8
3 13 11
3 14 15
3 15 4
3 16 20
3 17 12
3 18 17
3 19 3
3 20 13 
4 5 5
4 6 9
4 7 2
4 8 10
4 9 10
4 10 5
4 11 8
4 12 5
4 13 6
4 14 10
4 15 1
4 16 4
4 17 9
4 18 25
4 19 16
4 20 11
5 6 8
5 7 2
5 8 10
5 9 16
5 10 20
5 11 12
5 12 4
5 13 7
5 14 2
5 15 2
5 16 15
5 17 10
5 18 8
5 19 22
5 20 16
6 7 8
6 8 10
6 9 11
6 10 2
6 11 2
6 12 5
6 13 13
6 14 4
6 15 8
6 16 3
6 17 20
6 18 12
6 19 5
6 20 9
7 8 9
7 9 6
7 10 10
7 11 4
7 12 5
7 13 9
7 14 10
7 15 9
7 16 12
7 17 6
7 18 8
7 19 11
7 20 3
8 9 5
8 10 6
8 11 7
8 12 5
8 13 4
8 14 2
8 15 10
8 16 8
8 17 20
8 18 11
8 19 7
8 20 16
9 10 3
9 11 5
9 12 3
9 13 13
9 14 10
9 15 2
9 16 16
9 17 7
9 18 5
9 19 10
9 20 12
10 11 5
10 12 4
10 13 13
10 14 4
10 15 2
10 16 19
10 17 12
10 18 8
10 19 4
10 20 11
11 12 2
11 13 5
11 14 9
11 15 6
11 16 12
11 17 8
11 18 20
11 19 25
11 20 11
12 13 4
12 14 5
12 15 6
12 16 9
12 17 14
12 18 12
12 19 4
12 20 7
13 14 6
13 15 5
13 16 9
13 17 12
13 18 15
13 19 10
13 20 4
14 15 6
14 16 18
14 17 14
14 18 8
14 19 10
14 20 6
15 16 4
15 17 7
15 18 5
15 19 13
15 20 8
16 17 15
16 18 22
16 19 18
16 20 12
17 18 5
17 19 3
17 20 8
18 19 12
18 20 9
19 20 15
